DATE,DEXHKUS
2000-01-03,7.7765
2000-01-04,7.7775
2000-01-05,7.7780
2000-01-06,7.7785
2000-01-07,7.7783
2000-01-10,7.7785
2000-01-11,7.7785
2000-01-12,7.7787
2000-01-13,7.7788
2000-01-14,7.7789
2000-01-17,.
2000-01-18,7.7790
2000-01-19,7.7798
2000-01-20,7.7795
2000-01-21,7.7792
2000-01-24,7.7795
2000-01-25,7.7800
2000-01-26,7.7805
2000-01-27,7.7805
2000-01-28,7.7800
2000-01-31,7.7810
2000-02-01,7.7807
2000-02-02,7.7805
2000-02-03,7.7812
2000-02-04,7.7810
2000-02-07,7.7820
2000-02-08,7.7809
2000-02-09,7.7810
2000-02-10,7.7820
2000-02-11,7.7814
2000-02-14,7.7800
2000-02-15,7.7810
2000-02-16,7.7814
2000-02-17,7.7815
2000-02-18,7.7808
2000-02-21,.
2000-02-22,7.7825
2000-02-23,7.7826
2000-02-24,7.7830
2000-02-25,7.7830
2000-02-28,7.7830
2000-02-29,7.7833
2000-03-01,7.7824
2000-03-02,7.7825
2000-03-03,7.7833
2000-03-06,7.7835
2000-03-07,7.7840
2000-03-08,7.7845
2000-03-09,7.7842
2000-03-10,7.7848
2000-03-13,7.7842
2000-03-14,7.7845
2000-03-15,7.7847
2000-03-16,7.7846
2000-03-17,7.7849
2000-03-20,7.7855
2000-03-21,7.7855
2000-03-22,7.7858
2000-03-23,7.7858
2000-03-24,7.7845
2000-03-27,7.7855
2000-03-28,7.7850
2000-03-29,7.7865
2000-03-30,7.7866
2000-03-31,7.7867
2000-04-03,7.7868
2000-04-04,7.7863
2000-04-05,7.7864
2000-04-06,7.7870
2000-04-07,7.7878
2000-04-10,7.7875
2000-04-11,7.7870
2000-04-12,7.7878
2000-04-13,7.7879
2000-04-14,7.7880
2000-04-17,7.7882
2000-04-18,7.7885
2000-04-19,7.7886
2000-04-20,7.7888
2000-04-21,7.7887
2000-04-24,7.7890
2000-04-25,7.7885
2000-04-26,7.7890
2000-04-27,7.7890
2000-04-28,7.7890
2000-05-01,7.7890
2000-05-02,7.7895
2000-05-03,7.7900
2000-05-04,7.7900
2000-05-05,7.7898
2000-05-08,7.7893
2000-05-09,7.7899
2000-05-10,7.7898
2000-05-11,7.7898
2000-05-12,7.7900
2000-05-15,7.7895
2000-05-16,7.7902
2000-05-17,7.7910
2000-05-18,7.7915
2000-05-19,7.7915
2000-05-22,7.7918
2000-05-23,7.7920
2000-05-24,7.7919
2000-05-25,7.7920
2000-05-26,7.7922
2000-05-29,.
2000-05-30,7.7925
2000-05-31,7.7927
2000-06-01,7.7920
2000-06-02,7.7921
2000-06-05,7.7940
2000-06-06,7.7930
2000-06-07,7.7930
2000-06-08,7.7932
2000-06-09,7.7936
2000-06-12,7.7940
2000-06-13,7.7936
2000-06-14,7.7925
2000-06-15,7.7940
2000-06-16,7.7942
2000-06-19,7.7936
2000-06-20,7.7925
2000-06-21,7.7930
2000-06-22,7.7920
2000-06-23,7.7910
2000-06-26,7.7920
2000-06-27,7.7950
2000-06-28,7.7955
2000-06-29,7.7953
2000-06-30,7.7960
2000-07-03,7.7960
2000-07-04,.
2000-07-05,7.7962
2000-07-06,7.7964
2000-07-07,7.7968
2000-07-10,7.7965
2000-07-11,7.7961
2000-07-12,7.7960
2000-07-13,7.7960
2000-07-14,7.7965
2000-07-17,7.7973
2000-07-18,7.7968
2000-07-19,7.7970
2000-07-20,7.7970
2000-07-21,7.7965
2000-07-24,7.7960
2000-07-25,7.7971
2000-07-26,7.7981
2000-07-27,7.7975
2000-07-28,7.7987
2000-07-31,7.7988
2000-08-01,7.7993
2000-08-02,7.7990
2000-08-03,7.7992
2000-08-04,7.7989
2000-08-07,7.7985
2000-08-08,7.7985
2000-08-09,7.7993
2000-08-10,7.7995
2000-08-11,7.7998
2000-08-14,7.8003
2000-08-15,7.7998
2000-08-16,7.7998
2000-08-17,7.7988
2000-08-18,7.7990
2000-08-21,7.7992
2000-08-22,7.7992
2000-08-23,7.8000
2000-08-24,7.8000
2000-08-25,7.8000
2000-08-28,7.8000
2000-08-29,7.8000
2000-08-30,7.8008
2000-08-31,7.7992
2000-09-01,7.7995
2000-09-04,.
2000-09-05,7.7989
2000-09-06,7.7985
2000-09-07,7.7995
2000-09-08,7.7985
2000-09-11,7.7987
2000-09-12,7.7987
2000-09-13,7.7985
2000-09-14,7.7988
2000-09-15,7.7973
2000-09-18,7.7972
2000-09-19,7.7986
2000-09-20,7.7990
2000-09-21,7.7993
2000-09-22,7.7983
2000-09-25,7.7986
2000-09-26,7.7990
2000-09-27,7.7983
2000-09-28,7.7978
2000-09-29,7.7971
2000-10-02,7.7970
2000-10-03,7.7942
2000-10-04,7.7940
2000-10-05,7.7963
2000-10-06,7.7960
2000-10-09,.
2000-10-10,7.7970
2000-10-11,7.7985
2000-10-12,7.7968
2000-10-13,7.7975
2000-10-16,7.7980
2000-10-17,7.7975
2000-10-18,7.7980
2000-10-19,7.7970
2000-10-20,7.7975
2000-10-23,7.7987
2000-10-24,7.7991
2000-10-25,7.7990
2000-10-26,7.8001
2000-10-27,7.7995
2000-10-30,7.7997
2000-10-31,7.7995
2000-11-01,7.7970
2000-11-02,7.7951
2000-11-03,7.7974
2000-11-06,7.7982
2000-11-07,7.7985
2000-11-08,7.7990
2000-11-09,7.7990
2000-11-10,7.7992
2000-11-13,7.7991
2000-11-14,7.7995
2000-11-15,7.7995
2000-11-16,7.7990
2000-11-17,7.7998
2000-11-20,7.7999
2000-11-21,7.7999
2000-11-22,7.8000
2000-11-23,.
2000-11-24,7.8000
2000-11-27,7.8000
2000-11-28,7.8005
2000-11-29,7.7999
2000-11-30,7.8000
2000-12-01,7.8001
2000-12-04,7.7995
2000-12-05,7.8000
2000-12-06,7.7974
2000-12-07,7.7975
2000-12-08,7.7963
2000-12-11,7.7969
2000-12-12,7.7974
2000-12-13,7.8003
2000-12-14,7.8003
2000-12-15,7.8000
2000-12-18,7.8000
2000-12-19,7.7997
2000-12-20,7.8002
2000-12-21,7.7993
2000-12-22,7.7999
2000-12-25,.
2000-12-26,7.7993
2000-12-27,7.7988
2000-12-28,7.7990
2000-12-29,7.7999
2001-01-01,.
2001-01-02,7.8000
2001-01-03,7.8000
2001-01-04,7.7998
